year,state,month,number,day
2012,Amazonas,9,2392,1
2013,Amazonas,9,1739,1
2014,Amazonas,9,3057,1
2015,Amazonas,9,5882,1
2016,Amazonas,9,3119,1
2017,Amazonas,9,4033,1
1998,Amazonas,10,83,1
1999,Amazonas,10,479,1
2000,Amazonas,10,145,1
2001,Amazonas,10,332,1
2002,Amazonas,10,695,1
2003,Amazonas,10,725,1
2004,Amazonas,10,710,1
2005,Amazonas,10,545,1
2006,Amazonas,10,721,1
2007,Amazonas,10,215,1
2008,Amazonas,10,632,1
2009,Amazonas,10,2189,1
2010,Amazonas,10,889,1
2011,Amazonas,10,694,1
2012,Amazonas,10,1238,1
2013,Amazonas,10,1202,1
2014,Amazonas,10,952,1
2015,Amazonas,10,2494,1
2016,Amazonas,10,2105,1
2017,Amazonas,10,1581,1
1998,Amazonas,11,6,1
1999,Amazonas,11,32,1
2000,Amazonas,11,27,1
2001,Amazonas,11,244,1
2002,Amazonas,11,259,1
2003,Amazonas,11,169,1
2004,Amazonas,11,209,1
2005,Amazonas,11,261,1
2006,Amazonas,11,59,1
2007,Amazonas,11,90,1
2008,Amazonas,11,39,1
2009,Amazonas,11,973,1
2010,Amazonas,11,354,1
2011,Amazonas,11,399,1
2012,Amazonas,11,682,1
2013,Amazonas,11,220,1
2014,Amazonas,11,676,1
2015,Amazonas,11,1054,1
2016,Amazonas,11,591,1
2017,Amazonas,11,552,1
1998,Amazonas,12,196,1
1999,Amazonas,12,2,1
2000,Amazonas,12,60,1
2001,Amazonas,12,22,1
2002,Amazonas,12,44,1
2003,Amazonas,12,147,1
2004,Amazonas,12,53,1
2005,Amazonas,12,17,1
2006,Amazonas,12,23,1
2007,Amazonas,12,7,1
2008,Amazonas,12,0,1
2009,Amazonas,12,102,1
2010,Amazonas,12,123,1
2011,Amazonas,12,121,1
2012,Amazonas,12,80,1
2013,Amazonas,12,236,1
2014,Amazonas,12,293,1
2015,Amazonas,12,565,1
2016,Amazonas,12,133,1
1998,Bahia,1,0,1
1999,Bahia,1,114,1
2000,Bahia,1,31,1
2001,Bahia,1,24,1
2002,Bahia,1,125,1
2003,Bahia,1,439,1
2004,Bahia,1,158,1
2005,Bahia,1,303,1
2006,Bahia,1,225,1
2007,Bahia,1,373,1
2008,Bahia,1,314,1
2009,Bahia,1,177,1
2010,Bahia,1,297,1
2011,Bahia,1,101,1
2012,Bahia,1,179,1
2013,Bahia,1,125,1
